iter	F1	Logloss
0	0.7672193267	0.6586077701
1	0.7677127338	0.6322983627
2	0.7669810799	0.6055532382
3	0.7678688491	0.5858945248
4	0.7684098424	0.5716999361
5	0.7670136704	0.5569571728
6	0.7688041942	0.5437856897
7	0.7686351367	0.5344061698
8	0.7687478334	0.5256228611
9	0.7684098424	0.5183045977
10	0.7700629445	0.5114117108
11	0.7700629445	0.5052812496
12	0.7698937228	0.4999066329
13	0.7691802374	0.4959516302
14	0.7689914403	0.4909596045
15	0.771122122	0.4871777812
16	0.7692933547	0.4839405673
17	0.7713061798	0.4809643898
18	0.77027248	0.4788108523
19	0.770046225	0.4769373787
20	0.7698766209	0.4750108871
21	0.7702561968	0.4725936522
22	0.7738947006	0.4703107538
23	0.7738373267	0.4685764658
24	0.7745263759	0.4673805594
25	0.7761966552	0.4654005239
26	0.7756775223	0.4646069005
27	0.7763121125	0.4634300874
28	0.7761389395	0.4628531023
29	0.7749231999	0.4615626651
30	0.7748655399	0.4602579876
31	0.7759658437	0.4595161071
32	0.7772948877	0.458349885
33	0.7783359929	0.4576983652
34	0.7807756097	0.4562813768
35	0.7804843775	0.4557902696
36	0.7804843775	0.4552406872
37	0.7808921635	0.4545745117
38	0.7804843775	0.4541299174
39	0.7821765552	0.4533413248
40	0.7821180821	0.4524135066
41	0.782878915	0.4516106517
42	0.7831133153	0.4502671893
43	0.7835825372	0.4496773618
44	0.7837586404	0.449174449
45	0.7863506119	0.4482771876
46	0.7880089933	0.4458207593
47	0.7885101541	0.4438001399
48	0.7912271344	0.4425313633
49	0.793063303	0.4404996031
50	0.7931235634	0.4399158313
51	0.7933646965	0.4395784798
52	0.7947540622	0.4382529897
53	0.796406942	0.4374318102
54	0.7992054741	0.4354414711
55	0.8003671374	0.4344900396
56	0.7996247703	0.4334275847
57	0.8009746991	0.4323160364
58	0.801092708	0.4314159042
59	0.8014626272	0.430827936
60	0.801647715	0.4302344235
61	0.8019563846	0.4297717714
62	0.8048000453	0.4288661676
63	0.8052956236	0.4286696844
64	0.8073368224	0.4273654978
65	0.8080833903	0.4266614881
66	0.8082079526	0.425995107
67	0.8087065858	0.4246677927
68	0.8097057004	0.4237818264
69	0.8096581094	0.4223771525
70	0.810644615	0.4220946795
71	0.8107072867	0.4218644054
72	0.8126958468	0.4208126807
73	0.8128844095	0.420636238
74	0.8130101665	0.4201487219
75	0.812151416	0.4191659302
76	0.8138285368	0.4187738742
77	0.8151262556	0.4185301153
78	0.8157574546	0.4181532991
79	0.8161366434	0.417834694
80	0.8172456306	0.4166175314
