iter	Passed	Remaining
0	23	5566
1	35	4306
2	49	3944
3	65	3940
4	77	3686
5	83	3298
6	89	3028
7	97	2861
8	106	2760
9	111	2605
10	123	2609
11	132	2548
12	140	2489
13	148	2429
14	157	2390
15	171	2434
16	179	2389
17	188	2353
18	197	2326
19	213	2376
20	220	2329
21	224	2252
22	234	2246
23	240	2198
24	252	2204
25	262	2186
26	270	2161
27	277	2127
28	283	2095
29	294	2093
30	303	2078
31	312	2063
32	325	2070
33	339	2089
34	351	2090
35	369	2121
36	383	2136
37	396	2141
38	409	2141
39	429	2177
40	440	2171
41	451	2158
42	458	2134
43	474	2146
44	483	2125
45	491	2103
46	503	2100
47	515	2094
48	525	2082
49	532	2055
50	544	2049
51	550	2022
52	558	2003
53	568	1988
54	576	1969
55	588	1966
56	597	1948
57	606	1933
58	611	1906
59	619	1890
60	625	1867
61	633	1850
62	639	1827
63	644	1801
64	654	1791
65	662	1775
66	671	1764
67	676	1739
68	683	1722
69	692	1710
70	698	1691
71	708	1683
72	715	1665
73	726	1658
74	736	1648
75	745	1639
76	753	1625
77	764	1616
78	775	1609
79	782	1594
80	791	1583
81	800	1572
82	808	1557
83	819	1551
84	827	1537
85	838	1530
86	844	1514
87	855	1506
88	861	1490
89	868	1476
90	873	1458
91	878	1441
92	887	1431
93	900	1426
94	907	1413
95	921	1410
96	931	1402
97	941	1392
98	948	1379
99	957	1368
100	964	1355
101	975	1348
102	988	1343
103	997	1333
104	1001	1316
105	1008	1304
106	1020	1297
107	1028	1285
108	1040	1279
109	1052	1272
110	1059	1259
111	1067	1248
112	1073	1234
113	1084	1226
114	1091	1214
115	1099	1203
116	1106	1191
117	1113	1179
118	1124	1171
119	1131	1159
120	1136	1146
121	1141	1131
122	1148	1120
123	1155	1109
124	1167	1102
125	1181	1096
126	1195	1091
127	1209	1086
128	1217	1076
129	1225	1065
130	1235	1056
131	1249	1050
132	1255	1038
133	1273	1035
134	1285	1028
135	1294	1018
136	1303	1008
137	1315	1000
138	1328	994
139	1340	986
140	1353	979
141	1363	969
142	1380	965
143	1386	953
144	1397	944
145	1403	932
146	1412	922
147	1421	912
148	1440	908
149	1452	900
150	1466	893
151	1474	882
152	1483	872
153	1489	860
154	1502	852
155	1509	841
156	1519	832
157	1530	823
158	1542	815
159	1552	805
160	1568	798
161	1575	787
162	1588	779
163	1600	770
164	1609	760
165	1618	750
166	1630	742
167	1639	732
168	1645	720
169	1651	709
170	1662	699
171	1671	690
172	1678	679
173	1691	670
174	1699	660
175	1705	649
176	1713	638
177	1723	629
178	1732	619
179	1741	609
180	1748	598
181	1756	588
182	1765	578
183	1770	567
184	1781	558
185	1788	548
186	1796	538
187	1803	527
188	1811	517
189	1819	507
190	1826	497
191	1833	487
192	1843	477
193	1849	467
194	1856	456
195	1863	446
196	1868	436
197	1873	425
198	1881	415
199	1890	406
200	1900	397
201	1909	387
202	1919	378
203	1928	368
204	1934	358
205	1943	349
206	1952	339
207	1962	330
208	1966	319
209	1971	309
210	1983	300
211	1990	290
212	1997	281
213	2003	271
214	2013	262
215	2020	252
216	2031	243
217	2036	233
218	2043	223
219	2051	214
220	2062	205
221	2069	195
222	2075	186
223	2081	176
224	2086	166
225	2091	157
226	2096	147
227	2105	138
228	2116	129
229	2123	120
230	2128	110
231	2133	101
232	2141	91
233	2148	82
234	2158	73
235	2164	64
236	2172	55
237	2180	45
238	2187	36
239	2193	27
240	2203	18
241	2211	9
242	2225	0
